,,,中文翻譯,日文翻譯,捷克文翻譯,越文翻譯,越文例句,英文例句,日文例句,捷克文例句,中文翻譯
mental uses,creditive uses,assumption,假定、假設,仮説、思い込み,předpokladu,,"Tác phẩm của Foucault đã ngầm cho thấy một cuộc tấn công vào trung tâm của tầng lớp lao động trong chính trị giải phóng. Tư tưởng của ông được thể hiện từ giả định rằng giai cấp công nhân, thông qua vai trò của mình trong quá trình sản xuất, không phải là tiên phong trong công cuộc thay đổi xã hội.","Implicit in Foucault’s work is an attack on the centrality of labour in emancipatory politics. His thought processed from the assumption that the working class, through its place in the process of production, is not the vanguard of social change. ",フーコーの作品には、解放的な政治における労働の中心性に対する攻撃が暗黙のうちに含まれている。彼の思想は、労働者階級は生産過程に位置することで、社会変革の前衛ではないという思い込みから生まれたものである。,"Foucaultova práce implicitně zahrnuje útok na ústřední postavení práce v emancipační politice. Jeho myšlenka byla zpracována z předpokladu, že dělnická třída prostřednictvím svého místa ve výrobním procesu není předvojem společenských změn. ",傅柯的著作隱含著對於勞工在解放政治中扮演核心地位這個論點的批評。他的想法來自於這樣的假設：勞工階級由於他們在生產過程中扮演的身份地位，並不能帶領社會產生變革。
mental uses,creditive uses,confidence,自信、信心,,,,,,,,
mental uses,creditive uses,conviction,深信、確信,,,,,,,,
mental uses,creditive uses,suspicion,懷疑、猜想,,,,,,,,
mental uses,creditive uses,understanding,理解、領悟、了解,,,,,,,,
mental uses,creditive uses,prospect,可能、設想,,,,,,,,
mental uses,creditive uses,expectation,期盼、盼望、希望,期待,,hy vọng,Hy vọng của tôi là chính phủ hợp pháp của Kuwait sẽ được tái thiết lập trong sáu tháng tới và kết quả sẽ là chính phủ Iraq hiện tại có thể sẽ sụp đổ.,My own expectation is that the legitimate government of Kuwait will be re-established in the next six months and that the present government of Iraq will probably fall as a consequence. ,私自身の期待は、今後6ヶ月以内にクウェートの合法的な政府が再建され、その結果、イラクの現政府は崩壊するだろうということである。,"Očekávám, že v příštích šesti měsících bude znovu nastolena legitimní vláda Kuvajtu a že v důsledku toho pravděpodobně padne současná vláda Iráku. ",我期盼科威特能在未來六個月內重新成立一個合法政府，而伊拉克現任政府可以因此垮台。
mental uses,creditive uses,instinct,直覺、本能,,,,,,,,
mental uses,creditive uses,premise,前提,,,,,,,,
mental uses,creditive uses,estimate,估計、估算,,,,,,,,
mental uses,creditive uses,presumption,推定、推測,,,,,,,,
mental uses,creditive uses,calculation,計算,,,,,,,,
mental uses,creditive uses,hunch,直覺、預感,,,,,,,,
mental uses,creditive uses,supposition,推測、猜測,,,,,,,,
mental uses,creditive uses,intuition,直覺,,,,,,,,
mental uses,creditive uses,inkling,略知,,,,,,,,
mental uses,creditive uses,superstition,迷信,,,,,,,,
mental uses,creditive uses,conjecture,推測、猜測、推斷,,,,,,,,
mental uses,creditive uses,presupposition,推定、推測,,,,,,,,
mental uses,creditive uses,surmise,推測、猜測,,,,,,,,
mental uses,creditive uses,feeling,感覺、感情、情感,感覚、実感,,"cảm nhận, cảm giác","... cho biết: ""Các bác sĩ X-quang và nha sĩ dường như không có bất kỳ nguy cơ cao nào. Những người làm việc với vật liệu hạt nhân, các nhà khoa học và kỹ thuật viên hạt nhân hay những người bị nhiễm phóng xạ từ bên trong, đều có nguy cơ. Theo cảm nhận của tôi là các nguồn phát alpha, như plutonium, sẽ cho thấy một con đường quan trọng truyền từ cha đến những đứa trẻ chưa chào đời của họ. ''","...said: ‘’ Radiologists and dentists did not seem to carry any increased risk. Those who worked with nuclear materials, scientists and nuclear technicians, who would have suffered internal contamination, were at risk. My own feeling is that alpha emitters, like plutonium, are going to prove an important pathway through fathers to their unborn children.’’ ",放射線科医や歯科医は、リスクが高まっていないようだった。しかし、核物質を扱う仕事をしていた科学者や核技術者は、内部被曝のリスクがあったと思われる。私自身の感覚では、プルトニウムのようなアルファ線放出核種は、父親から生まれてくる子供への重要な経路になるだろうと思っている。,"... řekl: „Zdá se, že radiologové a zubaři nejsou více ohroženi. Ti, kteří pracovali s jadernými materiály, vědci a jaderní technici, kteří by prodělali vnitřní kontaminaci, byli ohroženi. Já si osobně myslím, že alfa emitory, jako je plutonium, dokáží důležité spojení mezi otci k jejich nenarozeným dětem. ““ ",.....說：「放射科醫生和牙醫似乎沒有增加任何風險。那些與核材料工作的人、科學家和核能技術人員，可能會遭受內部污染的這些人，才處於危險之中。我的感覺是像是鈽這樣的α射線，將成為通過父親傳播給未出生子女的一個重要途徑。。
mental uses,creditive uses,idea,觀念、理念、想法、構想、點子、念頭,,,,,,,,
mental uses,creditive uses,view,看法、意見、觀點,見解、意見,názor,quan điểm,"Cơ quan thuế vụ hoàn toàn có quyền để nói rằng: ""Nhìn này, đây là mỹ phẩm,"" nhưng trong trường hợp cụ thể này, vì John Birt Productions Ltd là một chiếc xe chính hãng, theo quan điểm của tôi thì nó đã hoạt động.","The Inland Revenue have a perfect right to say, “Look, this is cosmetic,” but in this particular case, since John Birt Productions Ltd is a genuine vehicle, my own view would be that it has worked. ",内国歳入庁は「これは化粧品だ」と言う権利があるが、この特殊なケースではJohn Birt Productions Ltd.が本物の車両であるため、私自身の見解としては、これはうまくいったと思う。,"Daňová správa má absolutní právo říci: „Podívej,  to je kosmetické,“ ale v tomto konkrétním případě, protože John Birt Productions Ltd je skutečným prostředkem, můj vlastní názor je, že to fungovalo. ",稅務局完全有權說：「看，這就是化妝品。」但在這種特殊情況下，因為約翰比爾特舞台製作有限公司是個貨真價實的工具，我自己的看法是它已經奏效了。
mental uses,creditive uses,notion,觀念、看法,,,,,,,,
mental uses,creditive uses,line,做法、立場、看法,,,,,,,,
mental uses,creditive uses,opinion,意見、民意、輿論、認為、看法,,,,,,,,
mental uses,creditive uses,conviction,看法、深信,,,,,,,,
mental uses,creditive uses,experience,經驗、經歷,経験,zkušenost,kinh nghiệm,"Sau gần 60 năm sống trên trên trái đất này, tôi đã dành 46 năm trong số đó cho thú vui câu cá, theo kinh nghiệm của tôi thì những người theo đuổi các môn thể thao ngoài trời, cụ thể là câu cá và đặc biệt là những người câu cá trẻ tuổi, thường ít chống đối xã hội hơn so với những người không bao giờ tiếp xúc hay không yêu thích tự nhiên.","After nearly 60 years on this earth, 46 of them spent in the pleasurable pursuit of fish, my experience is that people who follow the field sports, particularly angling and particularly young anglers, are far less antisocial than those who never go near the countryside or its pursuits.",この世に生を受けて60年近くになるが、そのうちの46年は魚を楽しむことに費やした。私の経験では、フィールドスポーツ、特に魚釣り、そして若い釣り人は、田舎やその楽しみに近づかない人に比べて、はるかに反社会性が少ないのである。,"Po téměř 60 letech na této zemi, 46 z nich strávených příjemným lovem ryb, mám zkušenost, že lidé, kteří provozují lovecké sporty, zejména rybáření a zvláště pak mladí rybáři, jsou mnohem méně asociální než ti, kteří nikdy nepřijdou do přírody nebo se o ni nezajímají.",我在地球上生活了將近 60 年後，其中有 46 年我是在愉快的捕魚中度過的。我的經驗是，從事野外運動的人，尤其是垂釣者，特別是年輕的垂釣者，與那些從不走進大自然的人相比，較不具有反社會人格。
mental uses,creditive uses,attitude,心態、態度、看法,,,,,,,,
mental uses,creditive uses,perception,觀念、看法,,,,,,,,
mental uses,creditive uses,philosophy,哲學,,,,,,,,
mental uses,creditive uses,instinct,本能、直覺,,,,,,,,
mental uses,creditive uses,faith,信任、信心,,,,,,,,
mental uses,creditive uses,awareness,意識,,,,,,,,
mental uses,creditive uses,thinking,思考、思想、想法、思維、觀念,,,,,,,,
mental uses,creditive uses,logic,邏輯,,,,,,,,
mental uses,creditive uses,stand,立場、觀點、態度,,,,,,,,
mental uses,creditive uses,perspective,角度、觀點、看法,,,,,,,,
mental uses,creditive uses,stance,觀點、立場,,,,,,,,
mental uses,creditive uses,sentiment,觀點、意見、看法,,,,,,,,
mental uses,creditive uses,obsession,困擾,,,,,,,,
mental uses,creditive uses,prejudice,成見、偏見,,,,,,,,
mental uses,creditive uses,viewpoint,角度、觀點、看法,,,,,,,,
mental uses,creditive uses,conception,觀點、概念、見解,,,,,,,,
mental uses,creditive uses,rationale,基本原理,,,,,,,,
mental uses,creditive uses,persuasion,說服,,,,,,,,
mental uses,creditive uses,ethos,價值觀、特質,,,,,,,,
mental uses,creditive uses,standpoint,觀點、立場,,,,,,,,
mental uses,creditive uses,preconception,成見、偏見,,,,,,,,
mental uses,creditive uses,presentiment,預感,,,,,,,,
mental uses,creditive uses,realisation,明白、意識到,認識,poznáni,nhận thức,"Trong khi ở Baghdad, đằng sau lời nói hiếu chiến của Saddam Hussein có thể do ông nhận thức được rằng thời gian, chiến thuật và tinh thần đang dần cạn kiệt.","And in Baghdad, meanwhile, behind Saddam Hussein’s belligerent rhetoric may lie the realization that the time or manoeuvre and brinkmanship is now running out. ",一方、バグダッドでは、サダム・フセインの好戦的な言動の裏には、策略や瀬戸際外交の時間がなくなってきたという認識があるのかもしれない。,"A v Bagdádu může mezitím za agresivní rétorikou Saddáma Husajna ležet poznání, že čas na manévrování a riskantní politiku se nyní krátí.",在巴格達與此同時，薩達姆・海珊的好戰言論背後可能代表著他意識到時間或策略和邊緣政策已經不多了。
mental uses,creditive uses,discovery,發現,,,,,,,,
mental uses,creditive uses,recognition,承認、認可,,,,,,,,
mental uses,creditive uses,analysis,分析,,,,,,,,
